epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,6337.79,1.54706,2.36269,1.39735,1.61984,0.80481,0.72765,0.80897,0.47753,0.78531,0.71003,0.78751,0.45032,1.39351,2.10834,0.94414,1.65459,0.00715761,0.00715761,0.00715761
56,6431.77,1.54002,2.35378,1.39908,1.6149,0.80378,0.73731,0.81724,0.47432,0.80629,0.69518,0.78824,0.44323,1.40161,2.23381,0.9254,1.68043,0.00706335,0.00706335,0.00706335
57,6525.25,1.52984,2.33815,1.3676,1.59875,0.82988,0.74318,0.83001,0.49144,0.80717,0.72388,0.80501,0.46022,1.37169,2.15635,0.90876,1.63172,0.0069682,0.0069682,0.0069682
58,6619.28,1.55547,2.36432,1.42186,1.61988,0.82637,0.74234,0.83423,0.50361,0.81225,0.72681,0.81249,0.47544,1.32909,2.1261,0.89429,1.59993,0.00687222,0.00687222,0.00687222
59,6713.01,1.53947,2.35528,1.38733,1.61138,0.819,0.74625,0.83458,0.4985,0.80234,0.72393,0.80651,0.4649,1.3583,2.30908,0.89848,1.62102,0.00677543,0.00677543,0.00677543
60,6806.92,1.53214,2.32718,1.37436,1.60239,0.81822,0.77066,0.84016,0.49329,0.79885,0.74276,0.81552,0.4718,1.40001,2.34624,0.86817,1.64783,0.00667789,0.00667789,0.00667789
61,6900.83,1.51594,2.34227,1.35529,1.58653,0.79413,0.75325,0.82407,0.48664,0.78949,0.69563,0.78162,0.44404,1.35149,2.39077,0.94066,1.63498,0.00657963,0.00657963,0.00657963
62,6994.76,1.52436,2.35675,1.37757,1.60922,0.8195,0.76206,0.83573,0.49991,0.80466,0.71221,0.7965,0.46439,1.36633,2.22266,0.8727,1.62461,0.00648071,0.00648071,0.00648071
63,7088.08,1.50865,2.31684,1.34821,1.59034,0.79939,0.76164,0.83084,0.49762,0.77189,0.72681,0.78063,0.45403,1.34457,2.2445,0.8825,1.62354,0.00638115,0.00638115,0.00638115
64,7181.75,1.5244,2.31322,1.3737,1.60578,0.80936,0.76073,0.83622,0.50348,0.78496,0.68863,0.7739,0.45076,1.33283,2.34993,0.88203,1.60278,0.00628101,0.00628101,0.00628101
65,7275.32,1.5064,2.30652,1.36525,1.60411,0.83475,0.74234,0.83764,0.50274,0.81484,0.68989,0.78477,0.46186,1.34874,2.34418,0.86683,1.62439,0.00618034,0.00618034,0.00618034
66,7369.34,1.50366,2.30992,1.34218,1.59047,0.81441,0.75745,0.83238,0.49514,0.77579,0.70583,0.77931,0.45501,1.37683,2.39019,0.8939,1.63504,0.00607916,0.00607916,0.00607916
67,7462.57,1.49155,2.29948,1.33018,1.58266,0.81126,0.77088,0.83998,0.50206,0.81291,0.70625,0.79246,0.45729,1.34809,2.49301,0.85555,1.6208,0.00597754,0.00597754,0.00597754
68,7556.25,1.49523,2.29321,1.32571,1.58637,0.82078,0.765,0.84462,0.51063,0.78123,0.70583,0.77998,0.46184,1.33089,2.49764,0.85041,1.60536,0.00587551,0.00587551,0.00587551
69,7650.08,1.49482,2.30551,1.32311,1.58152,0.82583,0.76404,0.84272,0.50433,0.82506,0.70457,0.7935,0.46116,1.36507,2.47452,0.85812,1.63546,0.00577311,0.00577311,0.00577311
70,7743.64,1.47627,2.25949,1.30423,1.56398,0.82861,0.75745,0.84021,0.50554,0.79108,0.70074,0.77831,0.45741,1.36285,2.50752,0.8338,1.62911,0.0056704,0.0056704,0.0056704
71,7837.18,1.47748,2.27937,1.31175,1.57369,0.81333,0.76795,0.84157,0.5138,0.77473,0.70429,0.77552,0.46349,1.32573,2.57078,0.84577,1.58924,0.00556742,0.00556742,0.00556742
72,7930.66,1.47577,2.27969,1.29479,1.56756,0.80498,0.77298,0.83711,0.50813,0.79565,0.71564,0.7908,0.46327,1.33063,2.53003,0.86312,1.60028,0.00546421,0.00546421,0.00546421
73,8024.67,1.47176,2.26925,1.29006,1.56249,0.83653,0.7731,0.85071,0.52008,0.79595,0.72023,0.79718,0.47344,1.31819,2.49295,0.82165,1.59303,0.00536081,0.00536081,0.00536081
