epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,14774.4,1.1468,2.09087,0.95226,1.45653,0.81234,0.7652,0.82831,0.49665,0.79232,0.7507,0.80963,0.45394,1.34808,1.55285,0.83577,1.64429,0.00039605,0.00039605,0.00039605
65,14968.4,1.1526,2.12079,0.96297,1.45794,0.82833,0.76052,0.83383,0.5001,0.81927,0.75491,0.82499,0.4629,1.36846,1.50021,0.80331,1.64401,0.0003944,0.0003944,0.0003944
66,15163.7,1.15569,2.09095,0.95059,1.4557,0.83546,0.75525,0.83493,0.4989,0.8213,0.74162,0.81725,0.45644,1.37407,1.5969,0.81997,1.65803,0.00039275,0.00039275,0.00039275
67,15357.8,1.15372,2.11496,0.94762,1.45468,0.83994,0.74368,0.83829,0.50911,0.83201,0.73666,0.82758,0.47115,1.34623,1.56923,0.80065,1.62854,0.0003911,0.0003911,0.0003911
68,15552,1.13589,2.09172,0.93319,1.44727,0.83575,0.7568,0.83327,0.49145,0.81766,0.7446,0.81465,0.45419,1.37663,1.53545,0.83418,1.64103,0.00038945,0.00038945,0.00038945
69,15794.2,1.1377,2.08291,0.94038,1.44931,0.82356,0.76194,0.83844,0.49716,0.81184,0.74872,0.82005,0.45541,1.37306,1.50977,0.81846,1.62766,0.0003878,0.0003878,0.0003878
70,16014,1.14049,2.06653,0.93009,1.44714,0.80844,0.76146,0.82588,0.5032,0.80657,0.74977,0.81842,0.46003,1.35179,1.5508,0.82396,1.64295,0.00038615,0.00038615,0.00038615
71,16208.1,1.13404,2.06841,0.928,1.44667,0.84906,0.75776,0.84848,0.51091,0.8401,0.74977,0.83513,0.4692,1.34088,1.51368,0.7846,1.62985,0.0003845,0.0003845,0.0003845
72,16445,1.13445,2.08524,0.91615,1.4513,0.84557,0.7632,0.8478,0.50666,0.83464,0.7602,0.83413,0.45863,1.35552,1.54674,0.80282,1.64299,0.00038285,0.00038285,0.00038285
73,16638.9,1.13949,2.0763,0.92004,1.43648,0.81454,0.76848,0.84282,0.50074,0.81258,0.74883,0.82864,0.45458,1.35859,1.62498,0.80541,1.62537,0.0003812,0.0003812,0.0003812
