epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,40047,1.09673,1.15643,0.91862,1.40403,0.8276,0.76962,0.84291,0.54641,0.79918,0.7415,0.80577,0.4938,1.21585,0.83146,0.74738,1.63826,0.001505,0.001505,0.001505
102,40326.5,1.11265,1.16167,0.93814,1.42122,0.82748,0.77759,0.84633,0.54695,0.80302,0.74822,0.81062,0.49646,1.20972,0.81654,0.73189,1.63695,0.00149599,0.00149599,0.00149599
103,40618.2,1.08662,1.15055,0.90923,1.39534,0.82859,0.77759,0.84565,0.55018,0.80198,0.74439,0.80885,0.49901,1.20841,0.82899,0.73561,1.6355,0.00148694,0.00148694,0.00148694
104,40880.3,1.10025,1.14098,0.91862,1.40926,0.82255,0.78003,0.84368,0.54955,0.79917,0.74486,0.80206,0.49198,1.21607,0.88802,0.72978,1.64876,0.00147783,0.00147783,0.00147783
105,41118.9,1.09044,1.15548,0.90834,1.40129,0.83721,0.77908,0.84976,0.5562,0.81041,0.74528,0.81055,0.50227,1.20208,0.84578,0.72928,1.63222,0.00146866,0.00146866,0.00146866
106,41445.2,1.09027,1.15377,0.90087,1.39388,0.83214,0.77885,0.84923,0.55481,0.81651,0.74066,0.80973,0.5013,1.20385,0.85961,0.71958,1.63472,0.00145945,0.00145945,0.00145945
107,41694.1,1.09062,1.17577,0.91513,1.39955,0.82644,0.77465,0.84544,0.55113,0.80264,0.74528,0.80747,0.49726,1.22228,0.85513,0.72133,1.65857,0.00145019,0.00145019,0.00145019
108,41933.3,1.088,1.15066,0.893,1.39643,0.83674,0.77212,0.84599,0.5486,0.81109,0.74411,0.80928,0.49422,1.2158,0.85425,0.72515,1.65422,0.00144088,0.00144088,0.00144088
109,42416.7,1.08312,1.13433,0.88772,1.38883,0.81633,0.78053,0.84193,0.55022,0.79513,0.74444,0.80496,0.49554,1.20931,0.87376,0.72693,1.64755,0.00143152,0.00143152,0.00143152
110,42732.5,1.08358,1.14886,0.88983,1.39156,0.81986,0.78497,0.84638,0.55493,0.79733,0.7499,0.80983,0.5005,1.19873,0.85375,0.71686,1.63984,0.00142212,0.00142212,0.00142212
