epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,44975.6,0.85794,0.40844,0.77288,0.899,0.8147,0.66547,0.78176,0.43997,0.81177,0.66308,0.77733,0.42238,0.15188,0.08317,0.10884,0.16499,0.00412246,0.00412246,0.00412246
58,45746.2,0.84487,0.43125,0.77422,0.88516,0.81622,0.66428,0.78367,0.44078,0.81591,0.6601,0.77917,0.42285,0.15172,0.08309,0.10842,0.16474,0.00397019,0.00397019,0.00397019
59,46517.1,0.83855,0.42104,0.74694,0.87273,0.8233,0.66521,0.78615,0.44253,0.81812,0.66103,0.7803,0.42471,0.15158,0.08304,0.10792,0.16452,0.00381899,0.00381899,0.00381899
60,47289.7,0.86352,0.42246,0.74279,0.90548,0.82452,0.66965,0.7878,0.44354,0.81833,0.66463,0.78063,0.42658,0.15146,0.08298,0.1075,0.16433,0.00366899,0.00366899,0.00366899
61,48061.1,0.84085,0.422,0.73731,0.8868,0.82187,0.66977,0.78909,0.44413,0.81668,0.66726,0.78455,0.42794,0.15126,0.08286,0.10721,0.16408,0.00352037,0.00352037,0.00352037
62,48831.9,0.85043,0.42093,0.74043,0.88636,0.82197,0.67297,0.79051,0.44443,0.81775,0.6701,0.78673,0.4287,0.15112,0.08274,0.10733,0.16392,0.00337325,0.00337325,0.00337325
63,49603.2,0.8384,0.41853,0.73603,0.88194,0.8257,0.67145,0.79208,0.44611,0.82204,0.66786,0.78734,0.4299,0.15095,0.08254,0.10745,0.16374,0.00322778,0.00322778,0.00322778
64,50374,0.83008,0.40574,0.71212,0.86683,0.82584,0.67563,0.79333,0.44706,0.82521,0.66726,0.78917,0.43058,0.15087,0.08248,0.10764,0.16358,0.00308412,0.00308412,0.00308412
65,51145.2,0.83813,0.4231,0.72317,0.87565,0.81872,0.68041,0.79401,0.44722,0.81152,0.67646,0.79011,0.43105,0.15074,0.08241,0.10817,0.16337,0.00294239,0.00294239,0.00294239
66,51915.2,0.81546,0.4107,0.71112,0.85948,0.82214,0.68205,0.79569,0.44888,0.81137,0.68459,0.79169,0.43154,0.15056,0.08234,0.1083,0.16321,0.00280275,0.00280275,0.00280275
67,52685.7,0.81388,0.40483,0.70455,0.86152,0.82677,0.68519,0.79769,0.45084,0.80877,0.68698,0.79361,0.43217,0.15047,0.08231,0.10795,0.16304,0.00266532,0.00266532,0.00266532
68,53456.3,0.80598,0.40404,0.67648,0.85065,0.82221,0.68511,0.79812,0.45106,0.81105,0.68698,0.79461,0.43376,0.15034,0.08225,0.10787,0.16284,0.00253024,0.00253024,0.00253024
69,54227,0.79243,0.40534,0.68091,0.84444,0.82188,0.68996,0.80131,0.45231,0.81466,0.68877,0.79678,0.43407,0.1502,0.08214,0.10791,0.16263,0.00239766,0.00239766,0.00239766
70,54997.1,0.80939,0.39327,0.69451,0.85657,0.82069,0.69295,0.80218,0.45405,0.80683,0.69363,0.79713,0.43514,0.15005,0.08205,0.10712,0.1624,0.00226769,0.00226769,0.00226769
